id,name,type,worldsfifty,lechef,tripadvisor,thebestchef,restaurant,geschlecht,alter,michelinstern,arbeitsort,herkunftsland,ausbildereins,ausbilderzwei,ausbilderdrei,ausbildervier,ausbilderfuenf,ausbildersechs,ausbildersieben,ausbilderacht
grac,Grant Achatz,1,21,32,1000,13,6,1,3,3,11,13,99,33,1000,1000,1000,1000,1000,1000
roem,Ronny Emborg,3,1000,1000,1000,12,0,1,2,2,11,11,2,100,1000,1000,1000,1000,1000,1000
alad,Albert Adria,3,25,1000,1000,11,6,1,3,1,10,9,101,102,1000,1000,1000,1000,1000,1000
grbe,Gregoire Berger,1,1000,1000,1000,10,0,1,2,0,20,19,95,103,104,1000,1000,1000,1000,1000
mabo,Massimo Bottura,1,2,35,1000,9,2,1,3,3,5,5,5,2,1000,1000,1000,1000,1000,1000
rako,Rasmus Koefed,3,19,45,1000,8,1,1,2,3,12,11,105,1000,1000,1000,1000,1000,1000,1000
yaal,Yannik Alleno,1,31,13,1000,7,16,1,3,3,9,15,106,107,39,1000,1000,1000,1000,1000
encr,Enrico Crippa,1,15,37,1000,6,1,1,3,3,5,5,16,2,29,13,14,15,1000,1000
nibr,Nick Bril,1,1000,1000,1000,5,1,1,2,2,23,23,80,1000,1000,1000,1000,1000,1000,1000
alat,Alex Atala,1,16,1000,1000,4,2,1,4,0,24,24,1000,1000,1000,1000,1000,1000,1000,1000
damu,David Munoz,1,1000,1000,1000,3,2,1,2,3,10,9,1000,1000,1000,1000,1000,1000,1000,1000
seya,Seiji Yamamoto,1,41,5,1000,1000,3,1,3,3,8,7,162,1000,1000,1000,1000,1000,1000,1000
jobo,Jonnie Boer,3,34,7,1000,1000,2,1,4,3,25,25,146,1000,1000,1000,1000,1000,1000,1000
emre,Emmanuel Renaut,1,1000,9,1000,1000,2,1,4,1,9,15,89,180,1000,1000,1000,1000,1000,1000
paba,Pascal Barbot,3,46,11,1000,1000,2,1,3,3,9,15,4,1000,1000,1000,1000,1000,1000,1000
aldu,Alain Ducasse,3,14,12,1000,1000,6,1,5,3,27,15,9,90,170,1000,1000,1000,1000,1000
pabo,Paul Bocuse,3,1000,15,1000,1000,7,1,8,3,9,15,168,1000,1000,1000,1000,1000,1000,1000
gigo,Gilles Goujon,3,1000,16,1000,1000,1,1,4,3,9,15,170,1000,1000,1000,1000,1000,1000,1000
mitr,Michel Troisgos,1,1000,17,1000,1000,3,1,5,3,9,15,95,121,122,123,113,90,1000,1000
ardo,Arnaud Donckele,1,1000,18,1000,1000,1,1,3,3,9,15,5,90,1000,1000,1000,1000,1000,1000
arla,Arnaud Lallement,1,1000,20,1000,1000,1,1,3,3,9,15,90,170,1000,1000,1000,1000,1000,1000
