id,,"eindeutige Identifikation jedes einzelnen Knotens (vertex), der erfasst wird.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,,Name des Knoten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,,1=Koch,2=Ausbilder,3= Koch und Ausbilder,,4= Liste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurant,,1=1,2=2,3=3,4=4,5=5,6=6,7=7,8=8,9=9,10=10,11=11,12=12,13=13,14=14,15=15,16=16,17=17,18=18,19=19,20=20,21=21,22=22,23=23,24=24,25=25,26=26,27=27,28=28,29=29,30=30,31=31,32=32,33=33,34=34,35=35,36=36,37=37,38=38,39=39,40=40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geschlecht,,1=männlich,2=weiblich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alter,,1=20-30,2=31-40,3=41-50,4=51-60,5=61-70,6=71-80,7=81-90,8=91-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelinsterne,,1= 1 Stern,2= 2 Sterne,3= 3 Sterne,4= 4 Sterne,5= 5 Sterne,6= 6 Sterne,7= 7 Sterne,8= 8 Sterne,9= 9 Sterne,10= 10 Sterne,11= 11 Sterne,12= 12 Sterne,13= 13 Sterne,14= 14 Sterne,15= 15 Sterne,16= 16 Sterne,17= 17 Sterne,18= 18 Sterne,19= 19 Sterne ,20= 20 Sterne,21= 21 Sterne,22= 22 Sterne,23= 23 Sterne,24= 24 Sterne,25= 25 Sterne ,26= 26 Sterne ,27= 27 Sterne ,28= 28 Sterne,29= 29 Sterne,30= Sterne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbeitsort,,1=Deutschland,2=Österreich,3=Russland,4=Mexico,5=Italien,6=Thailand,7=Peru,8=Japan,9=Frankreich,10=Spanien,11=USA,12=Dänemark,13=Neuseeland,14=Schweden,15=GB,16= Norwegen,18=Australien,19=Südafrika,20= Vereinigte Arabische Emirate,,21=Singapur,22=Taiwan,23= Belgien,24= Brasilien,25= Niederlande,26= Schweiz,27= Monaco,28=China,29=Indien,30=Argentinien,31=Kanada,32=Katar,33= Portugal,"34= Frankreich, USA, Katar",35= Chile,36= Peru,37= Türkei,38= Slowenien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herkunftsland,,1=Deutschland,2=Österreich,3=Russland,4=Mexico,5=Italien,6=Indien,7=Japan,8=Schweiz,9=Spanien,10=Argentinien,11=Dänemark,12=Neuseeland,13=USA,14=Peru,15=Frankreich,16=Südkorea,17=Schweden,18=Australien,19=GB,20=Südafrika,21=Norwegen,22= Taiwan,23= Belgien,24= Brasilien,25= Niederlande,26=Kolumbien,27=China,28= Senegal,29= Chile,30= Türkei,31= Slowenien,32= Kanada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausbilder,0= kein Ausbilder,1=Georges Coign,2=Ferran Adrià,3=Bernard Loiseau,4=Alain Passard,5=Alain Ducasse,6=Guy Martin,7=Karl Obauer,8=Rudi Obauer,9=Alain Chapel,10=Anton Mosimann,11=Joël Robuchon,12=Justin Schmitt,13=Christian Willer,14=Gislaine Arabian,15=Antoine Westermann,16=Michel Bras,17=Ferran Adria,18=Juli Soler,19= Paco Torreblanca,20=Massimiliano Alajmo,21=Juan Mari Azark,22=Heston Blumenthal,23=Juan Mari Arzak,24=Elena Arzak,25=Roger Souvereyns,26=Francis Cardenau,27=David Thompson,28=Mark Limacher,29=Gualtiero Marchesi  ,30=Mark Peel,31=Oscar Velasco,32=Enrique Olvera,33=Thomas Keller,34=Marco Pierre White,35=Daniel Boulud,36=Guy Savoy,37=Pascal Barbot,38=Eric Fréchon ,39=Louis Grondard,40= Alain Pic,41= Franz Raneburger,42=Rolf Schmidt,43=Régis Marcon,44=Christer Lingström,45=Nico Ladenis,46=Alfred Klink,47=Heinz Winkler,49=Gaetano Trovato,50=Jean Louis Palladin ,51=David Bouley,52= Maguy Le Coze,53=Gaston Acurio',54= Gilles Goujon,55=Jean-François Piège,56=Christophe Moret,57=Roland Feuillas,58=Christian Constant,59=Jean Sabine,60=Emile Tabourdiau ,61= Claude Deligne,62=Jean-Claude Vrinat,64= Harald Wohlfahrt,65=Albert Roux,66=Pierre Gagnaire,67= Martin Baresategui,68=Pedro Subijana,69=Pascal Barbot ,70=Peter Goosens,71=Michael Caines,72=Vico Equense,73=Marc Haeberlin,74= Roland Henin,75=Bernard Robin,76=Philippe Legendre,77=Eric Briffard,78=Christian Le Squer ,79=Quique Dacosta ,80= Sergio Herman ,81=Michel Rochedy,82= Pierre-André,83= Jaques Pourcel,84= Laurent Pourcel,85=  Thomas Rode Andersen,86= Michel Kerever,87= Gérard Boyer.,88= Alfredo Chiocchetti,89= Marc Veyrat ,90= Michel Guérard,91= Rita Chimetto,92=Andoni Luis Aduriz,93= Martin Berasategui,94= Jean-Claude Gagnaire,95= Paul Bocuse,96= Raoul Desprez,97=Alain Senderens,98= Danny Meyer,192= Charlie Trotter,100= Rasmus Kofoed,101= Antoni Escribà,102= Francisco Torreblanca,103= Frédéric Robert,104= Suez Environnement ,105=  Roger Souvereyns,106= Manuel Martinez,107= Gabriel Biscay,108=  Santi Santamaría,109= George Blue,110= Jeremiah Tower,111=  Mark Franz,112= Rene Redzepi,113= Fredy Girardet,114= André Jaeger,115= Davide Oldani,116=Peter Wiss,117= Nazzareno Menghini,118= Dieter Biesler,119= Doris-Katharina Hessler,120= Dieter Müller,121= Gaston Richard,122= Fernand Point,123= Paul Mercier ,124= Marcus Jernmark,125=  Danny Horseele,126= Jonnie Boer,127= Jean-Georges Klein ,128= Gordon Ramsay,129= Ramón Roteta,130= Hilario Arbelaitz,131= Jean Louis Neichel,132= Fermín Arrambide,133= Pedro Subijana,134= Ezio Santin,135= André Mandion,136=  François Brouchican,137= Didier Oudil,138= Pierre Hermé,139=  Elio Sironi,140= Alfons Schuhbeck,141=  Jörg Müller,142= Eckart Witzigmann,143=  Gaston Lenôtre,144= Christian Étienne,145= Michel Philibert,146= Ed Meijers,147= Tony Bilson,148=Gourmand Prunier,149=Jean-Louis Nomicos,150=Hirohisa Koyama,151=Mick Murphy,152=Albert Adrià,153=Aaron Patterson,154=Raymond Blanc,155=Hélène Darroze,156=Laurent Gras,157= Bernard Loiseau,158= Pierre Gagnaire,159= Antoine Westermann,160= Régis Marcon,161=Gebrüder Troisgros,162= Hirosha Koyama,163= Didier Stephan,164= Frédy Girardet ,165= Philippe Rochat,166= Betty Keller,167= Robert Auton,168= Eugénie Brazier,169= Gérard Rabaey,170= Roger Vergé,171= Paul Pairet,172= Georges Blanc,173= Teresa Santini,174= Jacques Pic,175= Tina Lin,176= roland gauthier,177= Claude Peyrot ,178= Bernard Pacaud,179= Jean-Paul Passédat,180= Yves Thuriès,181= Ronny Emborg,182= Marc Chevillot,183= Bruno Cirino,184= Claude Joseph,185=Dominique Crenn,186= Bernard Adrieu,187= Willi Schwank,188= Wolfgang Staudenmaier,189=Kléber Alix,190= Hans Snijders,191= Francis Mallmann
